CRIME HEAD,2013
Total Crimes against Children,1800
Kidnapping & Abduction of Children,739
Procuration of Minor Girls,377
Rape of Children,354
Other Crimes against Children,109
Selling of Girls for Prostitution,78
"Prohibition of Child Marriage Act, 2006",68
Other Murder of Children,64
Abetment of Suicide,5
Foeticide,5
