CRIME HEAD,2013
Total Crimes against Children,1961
Rape of Children,902
Kidnapping & Abduction of Children,709
Other Crimes against Children,200
Other Murder of Children,60
Procuration of Minor Girls,34
"Prohibition of Child Marriage Act, 2006",21
Exposure and Abandonment,16
Foeticide,13
Buying of Girls for Prostitution,4
