CRIME HEAD,2013
Total Crimes against Children,10
Kidnapping & Abduction of Children,6
Rape of Children,3
Other Murder of Children,1
Abetment of Suicide,0
Infanticide,0
Foeticide,0
Exposure and Abandonment,0
Buying of Girls for Prostitution,0
Procuration of Minor Girls,0
