CRIME HEAD,2013
Total Crimes against Children,2008
Other Crimes against Children,1073
Rape of Children,703
Kidnapping & Abduction of Children,155
Other Murder of Children,39
"Prohibition of Child Marriage Act, 2006",16
Procuration of Minor Girls,14
Abetment of Suicide,8
Buying of Girls for Prostitution,0
Infanticide,0
