CRIME HEAD,2013
Total Crimes against Children,222
Other Crimes against Children,123
Rape of Children,63
Kidnapping & Abduction of Children,34
Abetment of Suicide,1
Exposure and Abandonment,1
Infanticide,0
Buying of Girls for Prostitution,0
Foeticide,0
Procuration of Minor Girls,0
