CRIME HEAD,2013
Total Crimes against Children,2637
Other Crimes against Children,1413
Rape of Children,682
Kidnapping & Abduction of Children,435
Other Murder of Children,54
Procuration of Minor Girls,32
Foeticide,9
Abetment of Suicide,7
Infanticide,3
"Prohibition of Child Marriage Act, 2006",1
