CRIME HEAD,2013
Total Crimes against Children,150
Rape of Children,68
Other Crimes against Children,48
Kidnapping & Abduction of Children,20
Other Murder of Children,8
"Prohibition of Child Marriage Act, 2006",5
Procuration of Minor Girls,1
Infanticide,0
Buying of Girls for Prostitution,0
Abetment of Suicide,0
