CRIME HEAD,2013
Total Crimes against Children,8661
Other Crimes against Children,4677
Rape of Children,2538
Kidnapping & Abduction of Children,1165
Other Murder of Children,163
Abetment of Suicide,40
Procuration of Minor Girls,28
"Prohibition of Child Marriage Act, 2006",23
Exposure and Abandonment,10
Foeticide,10
