CRIME HEAD,2013
Total Crimes against Children,68
Rape of Children,43
Kidnapping & Abduction of Children,25
Buying of Girls for Prostitution,0
Abetment of Suicide,0
Infanticide,0
Foeticide,0
Exposure and Abandonment,0
Other Crimes against Children,0
Procuration of Minor Girls,0
