Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,5111,8.577518208975263
-  Primary (1 to 5),59586,100.0
-  Upper Primary (1 to 8),35350,59.32601617829691
-  Secondary (9 - 10),18671,31.334541670862283
-  Higher Secondary (11 - 12),14640,24.56952975531165
