Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,10718,46.819849729163025
-  Primary (1 to 5),22892,100.0
-  Upper Primary (1 to 8),12166,53.145203564564035
-  Secondary (9 - 10),7582,33.12074087017299
-  Higher Secondary (11 - 12),6430,28.088415166870522
