Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,1568253,19.685188218658624
-  Primary (1 to 5),7966665,100.0
-  Upper Primary (1 to 8),4421747,55.50311202993976
-  Secondary (9 - 10),2766802,34.7297394832091
-  Higher Secondary (11 - 12),2009900,25.22887557089447
