Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,426254,3.006121781734404
-  Primary (1 to 5),14179532,100.0
-  Upper Primary (1 to 8),7253543,51.15502401630745
-  Secondary (9 - 10),3618298,25.517753336287825
-  Higher Secondary (11 - 12),1995065,14.07003418730604
