Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,22556,18.58663766109628
-  Primary (1 to 5),121356,100.0
-  Upper Primary (1 to 8),72310,59.58502257819968
-  Secondary (9 - 10),46866,38.6186097102739
-  Higher Secondary (11 - 12),41894,34.52157289297604
