Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,663651,12.864245727754861
-  Primary (1 to 5),5158880,100.0
-  Upper Primary (1 to 8),3115298,60.38709952547839
-  Secondary (9 - 10),2080142,40.32158142852712
-  Higher Secondary (11 - 12),1812980,35.142899233942245
