Level,TotalEnrolment,PercentageWRTPrimary
-  Pre - Primary,282543,7.55278997698153
-  Primary (1 to 5),3740909,100.0
-  Upper Primary (1 to 8),2114309,56.518589465822345
-  Secondary (9 - 10),1089069,29.112416260326036
-  Higher Secondary (11 - 12),743920,19.8860758174016
