Education Level,Count,% of State
Educational Standard - Illiterate,34,32.38095238095238
Educational Standard - Below Class X,22,20.95238095238095
Educational Standard - Class X & above but below Graduation,38,36.19047619047619
Educational Standard - Graduate,7,6.666666666666667
Educational Standard - Holding Tech. Degree/ Diploma,2,1.904761904761905
Educational Standard - Post Graduate,2,1.904761904761905
