Education Level,Count,% of State
Educational Standard - Illiterate,36,28.57142857142857
Educational Standard - Below Class X,63,50.0
Educational Standard - Class X & above but below Graduation,25,19.84126984126984
Educational Standard - Graduate,2,1.587301587301587
Educational Standard - Holding Tech. Degree/ Diploma,0,0.0
Educational Standard - Post Graduate,0,0.0
