Education Level,Count,% of State
Educational Standard - Illiterate,2171,28.04547216121948
Educational Standard - Below Class X,2629,33.96202041079964
Educational Standard - Class X & above but below Graduation,2127,27.47707014597597
Educational Standard - Graduate,677,8.74564009817853
Educational Standard - Holding Tech. Degree/ Diploma,37,0.477974421909314
Educational Standard - Post Graduate,100,1.291822761917065
