Education Level,Count,% of State
Educational Standard - Illiterate,8394,31.39821949577317
Educational Standard - Below Class X,9718,36.35071444602379
Educational Standard - Class X & above but below Graduation,5961,22.29744894142291
Educational Standard - Graduate,1866,6.979875813570733
Educational Standard - Holding Tech. Degree/ Diploma,177,0.662078252412658
Educational Standard - Post Graduate,618,2.311663050796738
