Education Level,Count,% of State
Educational Standard - Illiterate,169,6.966199505358615
Educational Standard - Below Class X,1461,60.22258862324814
Educational Standard - Class X & above but below Graduation,584,24.07254740313273
Educational Standard - Graduate,113,4.657873042044518
Educational Standard - Holding Tech. Degree/ Diploma,74,3.050288540807915
Educational Standard - Post Graduate,25,1.030502885408079
