Education Level,Count,% of State
Educational Standard - Illiterate,15,14.28571428571428
Educational Standard - Below Class X,24,22.85714285714286
Educational Standard - Class X & above but below Graduation,42,40.0
Educational Standard - Graduate,21,20.0
Educational Standard - Holding Tech. Degree/ Diploma,3,2.857142857142857
Educational Standard - Post Graduate,0,0.0
