Education Level,Count,% of State
Educational Standard - Illiterate,6,8.333333333333332
Educational Standard - Below Class X,32,44.44444444444444
Educational Standard - Class X & above but below Graduation,22,30.55555555555556
Educational Standard - Graduate,6,8.333333333333332
Educational Standard - Holding Tech. Degree/ Diploma,5,6.944444444444445
Educational Standard - Post Graduate,1,1.388888888888889
