Education Level,Count,% of State
Educational Standard - Illiterate,529,25.64226854095977
Educational Standard - Below Class X,751,36.4032961706253
Educational Standard - Class X & above but below Graduation,483,23.41250605913718
Educational Standard - Graduate,194,9.403780901599612
Educational Standard - Holding Tech. Degree/ Diploma,25,1.211827435773146
Educational Standard - Post Graduate,81,3.926320891904993
