Education Level,Count,% of State
Educational Standard - Illiterate,73,20.91690544412607
Educational Standard - Below Class X,123,35.24355300859599
Educational Standard - Class X & above but below Graduation,110,31.51862464183381
Educational Standard - Graduate,28,8.022922636103152
Educational Standard - Holding Tech. Degree/ Diploma,5,1.432664756446991
Educational Standard - Post Graduate,10,2.865329512893983
