Education Level,Count,% of State
Educational Standard - Illiterate,1158,22.77734067663257
Educational Standard - Below Class X,2330,45.83005507474429
Educational Standard - Class X & above but below Graduation,1238,24.35090479937057
Educational Standard - Graduate,233,4.58300550747443
Educational Standard - Holding Tech. Degree/ Diploma,83,1.632572777340677
Educational Standard - Post Graduate,42,0.8261211644374508
