Education Level,Count,% of State
Educational Standard - Illiterate,1334,32.05960105743812
Educational Standard - Below Class X,1677,40.30281182408075
Educational Standard - Class X & above but below Graduation,598,14.37154530161019
Educational Standard - Graduate,276,6.633020908435472
Educational Standard - Holding Tech. Degree/ Diploma,182,4.373948570055274
Educational Standard - Post Graduate,94,2.259072338380197
