State/UT,Christian,Christian %
Mizoram,393,89.93135011441647
Meghalaya,143,80.33707865168539
Nagaland,73,76.84210526315789
Arunachal Pradesh,42,33.33333333333333
A & N Islands,32,23.35766423357664
