State,SecondaryPercent
Meghalaya,22.15275551952337
Bihar,25.517753336287825
Uttar Pradesh,25.73466869925465
Assam,27.56054746811223
Arunachal Pradesh,27.706158075350025
Jharkhand,29.11241626032604
Rajasthan,29.316411359474465
Manipur,29.35427371517597
Mizoram,29.71481679339036
Madhya Pradesh,29.85444972394419
