State,Count
Andhra Pradesh,36131
Uttar Pradesh,26511
Maharashtra,12110
Tamil Nadu,10043
Madhya Pradesh,9317
Haryana,8188
Jammu & Kashmir,3993
Kerala,3304
Odisha,2939
Chhattisgarh,1725
Delhi UT,1687
West Bengal,1554
Uttarakhand,1519
Gujarat,1365
Karnataka,831
Punjab,762
Himachal Pradesh,439
Rajasthan,354
Puducherry,284
Jharkhand,247
