State,Count
Uttar Pradesh,47590
Rajasthan,24671
Assam,22920
West Bengal,21773
Bihar,19389
Delhi UT,15650
Andhra Pradesh,14936
Gujarat,12918
Tamil Nadu,12436
Maharashtra,10853
Madhya Pradesh,9243
Jammu & Kashmir,8820
Odisha,8291
Haryana,6129
Punjab,5385
Karnataka,5315
Jharkhand,5282
Chhattisgarh,2630
Uttarakhand,2334
Kerala,1898
