State,Count
West Bengal,130668
Andhra Pradesh,119007
Rajasthan,100101
Maharashtra,80363
Uttar Pradesh,77617
Gujarat,59431
Kerala,46074
Madhya Pradesh,39969
Assam,39388
Karnataka,30052
Haryana,27112
Bihar,25680
Odisha,18697
Tamil Nadu,18188
Delhi UT,15211
Punjab,11998
Chhattisgarh,9573
Jharkhand,8409
Tripura,6514
Uttarakhand,4142
