State,Count
Andhra Pradesh,13029
Rajasthan,1075
Kerala,417
Tamil Nadu,278
West Bengal,57
Maharashtra,56
Assam,19
Gujarat,18
Punjab,13
Jharkhand,10
Bihar,10
Uttar Pradesh,8
Delhi UT,4
Goa,4
Odisha,3
Madhya Pradesh,3
Chhattisgarh,3
Karnataka,3
Himachal Pradesh,2
Haryana,2
