State,Count
Tamil Nadu,23221
Karnataka,9687
Andhra Pradesh,7060
Maharashtra,3485
Kerala,2423
Rajasthan,998
West Bengal,934
Delhi UT,831
Haryana,780
Gujarat,635
Punjab,623
Uttar Pradesh,502
Odisha,309
Bihar,301
Assam,295
Goa,291
Madhya Pradesh,220
Puducherry,131
Chhattisgarh,118
Jharkhand,102
