State,Count
Madhya Pradesh,79878
Andhra Pradesh,51999
Maharashtra,39219
Kerala,31490
Rajasthan,30853
Odisha,29946
Uttar Pradesh,29698
Karnataka,23699
West Bengal,22871
Tamil Nadu,19329
Chhattisgarh,19165
Assam,13620
Jammu & Kashmir,11509
Gujarat,8998
Bihar,7576
Delhi UT,7534
Haryana,5323
Punjab,4047
Jharkhand,3985
Himachal Pradesh,3597
