State,Count
Uttar Pradesh,23824
Bihar,13548
Madhya Pradesh,9036
Andhra Pradesh,6215
West Bengal,5172
Rajasthan,5066
Odisha,4555
Maharashtra,4249
Jharkhand,3291
Haryana,3130
Karnataka,2918
Tamil Nadu,2317
Delhi UT,1582
Punjab,1546
Assam,1276
Chhattisgarh,1142
Uttarakhand,906
Gujarat,502
Tripura,314
Kerala,301
