State,Count
Madhya Pradesh,36087
West Bengal,20787
Uttar Pradesh,19058
Maharashtra,17986
Assam,16178
Rajasthan,15798
Andhra Pradesh,13479
Bihar,13124
Chhattisgarh,11838
Odisha,11430
Jharkhand,9159
Kerala,7447
Tamil Nadu,6952
Delhi UT,6424
Haryana,6410
Punjab,5459
Karnataka,5174
Gujarat,4249
Jammu & Kashmir,2810
Tripura,2058
