STATE/UT,2013
Uttar Pradesh,36
Rajasthan,13
Madhya Pradesh,10
Maharashtra,10
Chhattisgarh,9
Haryana,6
West Bengal,5
Andhra Pradesh,2
Bihar,2
Punjab,1
