STATE/UT,2013
Tamil Nadu,182
Maharashtra,106
Karnataka,74
West Bengal,68
Gujarat,60
Andhra Pradesh,44
Uttar Pradesh,25
Haryana,25
Madhya Pradesh,23
Rajasthan,21
