Crime,Count
RAPE,826
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,816
CRUELTY BY HUSBAND OR RELATIVES,54
IMMORAL TRAFFIC(PREVENTION)ACT,18
KIDNAPPING & ABDUCTION,10
INSULT TO THE MODESTY OF WOMEN,6
DOWRY DEATH,4
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
