Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,59431
KIDNAPPING & ABDUCTION,12918
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,8998
RAPE,4249
INSULT TO THE MODESTY OF WOMEN,1365
IMMORAL TRAFFIC(PREVENTION)ACT,635
DOWRY DEATH,502
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,18
