Crime,Count
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,79878
CRUELTY BY HUSBAND OR RELATIVES,39969
RAPE,36087
INSULT TO THE MODESTY OF WOMEN,9317
KIDNAPPING & ABDUCTION,9243
DOWRY DEATH,9036
IMMORAL TRAFFIC(PREVENTION)ACT,220
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,3
