Crime,Count
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,613
INSULT TO THE MODESTY OF WOMEN,284
IMMORAL TRAFFIC(PREVENTION)ACT,131
KIDNAPPING & ABDUCTION,121
CRUELTY BY HUSBAND OR RELATIVES,105
RAPE,77
DOWRY DEATH,26
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
