Crime,Count
RAPE,220
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,96
KIDNAPPING & ABDUCTION,71
IMMORAL TRAFFIC(PREVENTION)ACT,39
INSULT TO THE MODESTY OF WOMEN,10
CRUELTY BY HUSBAND OR RELATIVES,9
DOWRY DEATH,0
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
