Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,4142
KIDNAPPING & ABDUCTION,2334
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1545
INSULT TO THE MODESTY OF WOMEN,1519
RAPE,1378
DOWRY DEATH,906
IMMORAL TRAFFIC(PREVENTION)ACT,46
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
