Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,30052
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,23699
IMMORAL TRAFFIC(PREVENTION)ACT,9687
KIDNAPPING & ABDUCTION,5315
RAPE,5174
DOWRY DEATH,2918
INSULT TO THE MODESTY OF WOMEN,831
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,3
