Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,80363
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,39219
RAPE,17986
INSULT TO THE MODESTY OF WOMEN,12110
KIDNAPPING & ABDUCTION,10853
DOWRY DEATH,4249
IMMORAL TRAFFIC(PREVENTION)ACT,3485
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,56
