Crime,Count
RAPE,350
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,328
IMMORAL TRAFFIC(PREVENTION)ACT,291
CRUELTY BY HUSBAND OR RELATIVES,191
KIDNAPPING & ABDUCTION,164
INSULT TO THE MODESTY OF WOMEN,123
DOWRY DEATH,19
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,4
