Crime,Count
IMMORAL TRAFFIC(PREVENTION)ACT,23221
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19329
CRUELTY BY HUSBAND OR RELATIVES,18188
KIDNAPPING & ABDUCTION,12436
INSULT TO THE MODESTY OF WOMEN,10043
RAPE,6952
DOWRY DEATH,2317
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,278
