Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,100101
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,30853
KIDNAPPING & ABDUCTION,24671
RAPE,15798
DOWRY DEATH,5066
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1075
IMMORAL TRAFFIC(PREVENTION)ACT,998
INSULT TO THE MODESTY OF WOMEN,354
