Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,7
RAPE,7
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1
KIDNAPPING & ABDUCTION,1
DOWRY DEATH,0
IMMORAL TRAFFIC(PREVENTION)ACT,0
INSULT TO THE MODESTY OF WOMEN,0
