Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,807
KIDNAPPING & ABDUCTION,534
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,314
RAPE,281
INSULT TO THE MODESTY OF WOMEN,143
IMMORAL TRAFFIC(PREVENTION)ACT,51
DOWRY DEATH,42
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2
