Crime,Count
RAPE,9159
CRUELTY BY HUSBAND OR RELATIVES,8409
KIDNAPPING & ABDUCTION,5282
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3985
DOWRY DEATH,3291
INSULT TO THE MODESTY OF WOMEN,247
IMMORAL TRAFFIC(PREVENTION)ACT,102
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,10
