Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,119007
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,51999
INSULT TO THE MODESTY OF WOMEN,36131
KIDNAPPING & ABDUCTION,14936
RAPE,13479
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,13029
IMMORAL TRAFFIC(PREVENTION)ACT,7060
DOWRY DEATH,6215
