Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,46074
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,31490
RAPE,7447
INSULT TO THE MODESTY OF WOMEN,3304
IMMORAL TRAFFIC(PREVENTION)ACT,2423
KIDNAPPING & ABDUCTION,1898
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,417
DOWRY DEATH,301
