Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,11998
RAPE,5459
KIDNAPPING & ABDUCTION,5385
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,4047
DOWRY DEATH,1546
INSULT TO THE MODESTY OF WOMEN,762
IMMORAL TRAFFIC(PREVENTION)ACT,623
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,13
