Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,77617
KIDNAPPING & ABDUCTION,47590
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,29698
INSULT TO THE MODESTY OF WOMEN,26511
DOWRY DEATH,23824
RAPE,19058
IMMORAL TRAFFIC(PREVENTION)ACT,502
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,8
