Crime,Count
KIDNAPPING & ABDUCTION,1057
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,504
RAPE,387
CRUELTY BY HUSBAND OR RELATIVES,219
IMMORAL TRAFFIC(PREVENTION)ACT,26
INSULT TO THE MODESTY OF WOMEN,3
DOWRY DEATH,2
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
