Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,25680
KIDNAPPING & ABDUCTION,19389
DOWRY DEATH,13548
RAPE,13124
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7576
IMMORAL TRAFFIC(PREVENTION)ACT,301
INSULT TO THE MODESTY OF WOMEN,226
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,10
