Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,6514
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2773
RAPE,2058
KIDNAPPING & ABDUCTION,875
DOWRY DEATH,314
INSULT TO THE MODESTY OF WOMEN,39
IMMORAL TRAFFIC(PREVENTION)ACT,3
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
