Crime,Count
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,230
RAPE,195
KIDNAPPING & ABDUCTION,62
CRUELTY BY HUSBAND OR RELATIVES,44
INSULT TO THE MODESTY OF WOMEN,14
IMMORAL TRAFFIC(PREVENTION)ACT,9
DOWRY DEATH,2
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
