Crime,Count
CRUELTY BY HUSBAND OR RELATIVES,130668
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,22871
KIDNAPPING & ABDUCTION,21773
RAPE,20787
DOWRY DEATH,5172
INSULT TO THE MODESTY OF WOMEN,1554
IMMORAL TRAFFIC(PREVENTION)ACT,934
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,57
