Crime,Count
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3597
CRUELTY BY HUSBAND OR RELATIVES,3245
RAPE,1804
KIDNAPPING & ABDUCTION,1541
INSULT TO THE MODESTY OF WOMEN,439
DOWRY DEATH,55
IMMORAL TRAFFIC(PREVENTION)ACT,31
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2
