Crime,Count
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,784
KIDNAPPING & ABDUCTION,558
RAPE,500
CRUELTY BY HUSBAND OR RELATIVES,167
INSULT TO THE MODESTY OF WOMEN,18
DOWRY DEATH,2
IMMORAL TRAFFIC(PREVENTION)ACT,1
INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0
